id,algorithm
2,Bayesian Approaches
3,Linear or Logistic Regression
3,Decision Trees or Random Forests
3,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
4,"Transformer Networks (BERT, gpt-3, etc)"
6,Decision Trees or Random Forests
6,Linear or Logistic Regression
7,Linear or Logistic Regression
7,Decision Trees or Random Forests
8,Linear or Logistic Regression
8,Graph Neural Networks
8,Bayesian Approaches
8,Recurrent Neural Networks
8,"Transformer Networks (BERT, gpt-3, etc)"
9,Linear or Logistic Regression
9,Decision Trees or Random Forests
10,Recurrent Neural Networks
10,Decision Trees or Random Forests
10,Generative Adversarial Networks
10,"Transformer Networks (BERT, gpt-3, etc)"
10,Evolutionary Approaches
10,Bayesian Approaches
10,Linear or Logistic Regression
10,Convolutional Neural Networks
10,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
10,"Dense Neural Networks (MLPs, etc)"
11,Decision Trees or Random Forests
11,Linear or Logistic Regression
11,Bayesian Approaches
11,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
11,"Dense Neural Networks (MLPs, etc)"
12,Convolutional Neural Networks
14,Convolutional Neural Networks
14,"Transformer Networks (BERT, gpt-3, etc)"
14,Linear or Logistic Regression
14,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
14,"Dense Neural Networks (MLPs, etc)"
14,Decision Trees or Random Forests
15,Convolutional Neural Networks
17,"Dense Neural Networks (MLPs, etc)"
17,Decision Trees or Random Forests
17,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
17,Bayesian Approaches
17,Graph Neural Networks
17,Recurrent Neural Networks
17,Linear or Logistic Regression
18,Linear or Logistic Regression
18,Bayesian Approaches
18,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
18,Decision Trees or Random Forests
19,Bayesian Approaches
19,Convolutional Neural Networks
19,"Transformer Networks (BERT, gpt-3, etc)"
19,Linear or Logistic Regression
20,Decision Trees or Random Forests
20,Convolutional Neural Networks
20,Linear or Logistic Regression
20,"Transformer Networks (BERT, gpt-3, etc)"
20,"Dense Neural Networks (MLPs, etc)"
21,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
21,Decision Trees or Random Forests
24,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
24,Convolutional Neural Networks
25,Recurrent Neural Networks
25,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
25,Convolutional Neural Networks
25,Decision Trees or Random Forests
25,"Dense Neural Networks (MLPs, etc)"
25,Linear or Logistic Regression
26,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
26,Linear or Logistic Regression
26,Bayesian Approaches
26,Decision Trees or Random Forests
27,Linear or Logistic Regression
28,Linear or Logistic Regression
28,Graph Neural Networks
29,Linear or Logistic Regression
29,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
29,Recurrent Neural Networks
29,Decision Trees or Random Forests
29,Bayesian Approaches
29,Convolutional Neural Networks
30,Decision Trees or Random Forests
30,Linear or Logistic Regression
30,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
31,Decision Trees or Random Forests
31,Convolutional Neural Networks
33,Recurrent Neural Networks
33,Linear or Logistic Regression
33,"Dense Neural Networks (MLPs, etc)"
33,Decision Trees or Random Forests
34,Evolutionary Approaches
34,Decision Trees or Random Forests
35,Generative Adversarial Networks
35,"Dense Neural Networks (MLPs, etc)"
35,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
35,"Autoencoder Networks (DAE, VAE, etc)"
35,Convolutional Neural Networks
35,"Transformer Networks (BERT, gpt-3, etc)"
36,Decision Trees or Random Forests
36,"Transformer Networks (BERT, gpt-3, etc)"
36,"Dense Neural Networks (MLPs, etc)"
39,Graph Neural Networks
40,Linear or Logistic Regression
40,Convolutional Neural Networks
40,Evolutionary Approaches
40,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
40,"Dense Neural Networks (MLPs, etc)"
40,Decision Trees or Random Forests
41,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
41,Decision Trees or Random Forests
41,Linear or Logistic Regression
42,Recurrent Neural Networks
42,Convolutional Neural Networks
43,Bayesian Approaches
43,Decision Trees or Random Forests
43,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
43,"Dense Neural Networks (MLPs, etc)"
43,Linear or Logistic Regression
43,Convolutional Neural Networks
43,"Transformer Networks (BERT, gpt-3, etc)"
44,Recurrent Neural Networks
44,"Transformer Networks (BERT, gpt-3, etc)"
44,Convolutional Neural Networks
46,Convolutional Neural Networks
46,Linear or Logistic Regression
46,Decision Trees or Random Forests
49,Bayesian Approaches
49,Linear or Logistic Regression
53,Linear or Logistic Regression
53,Decision Trees or Random Forests
53,Convolutional Neural Networks
53,Recurrent Neural Networks
55,Linear or Logistic Regression
55,Recurrent Neural Networks
55,Convolutional Neural Networks
55,"Dense Neural Networks (MLPs, etc)"
56,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
57,Convolutional Neural Networks
57,Recurrent Neural Networks
57,Linear or Logistic Regression
58,Convolutional Neural Networks
58,Bayesian Approaches
58,Recurrent Neural Networks
58,Linear or Logistic Regression
58,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
58,Generative Adversarial Networks
58,"Transformer Networks (BERT, gpt-3, etc)"
