id,course_platform
1,Other
2,University Courses (resulting in a university degree)
3,University Courses (resulting in a university degree)
3,Coursera
3,DataCamp
3,Udemy
3,edX
3,LinkedIn Learning
3,Udacity
4,Other
4,Coursera
4,Kaggle Learn Courses
4,Udemy
5,Other
6,DataCamp
6,Udemy
6,edX
6,Udacity
6,Coursera
7,Other
7,Kaggle Learn Courses
8,Coursera
8,Udacity
8,edX
8,Udemy
9,Kaggle Learn Courses
9,Coursera
10,Kaggle Learn Courses
10,LinkedIn Learning
10,DataCamp
10,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
10,Udemy
10,Coursera
11,University Courses (resulting in a university degree)
12,Udemy
13,Other
14,Coursera
14,Fast.ai
14,Udemy
14,Other
14,Kaggle Learn Courses
14,Udacity
15,Other
17,Udemy
17,Udacity
17,Coursera
17,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
18,Coursera
18,Udemy
18,Kaggle Learn Courses
18,Udacity
19,University Courses (resulting in a university degree)
19,Udemy
22,Kaggle Learn Courses
22,University Courses (resulting in a university degree)
23,Udemy
23,Coursera
23,Kaggle Learn Courses
24,Coursera
24,LinkedIn Learning
24,Udemy
25,Udemy
26,Udemy
26,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
26,University Courses (resulting in a university degree)
27,Udemy
28,University Courses (resulting in a university degree)
28,Udemy
28,edX
28,Coursera
29,University Courses (resulting in a university degree)
30,Other
30,DataCamp
30,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
30,University Courses (resulting in a university degree)
31,University Courses (resulting in a university degree)
33,Coursera
34,Coursera
34,University Courses (resulting in a university degree)
35,Udacity
35,edX
35,Udemy
35,Kaggle Learn Courses
35,University Courses (resulting in a university degree)
36,Udemy
37,Other
38,Other
39,Other
40,Udemy
40,Coursera
41,LinkedIn Learning
41,University Courses (resulting in a university degree)
42,Udemy
42,Other
43,Udemy
43,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
43,Coursera
43,LinkedIn Learning
44,Coursera
45,Kaggle Learn Courses
45,DataCamp
45,Udemy
45,Coursera
46,edX
46,Kaggle Learn Courses
46,Coursera
47,DataCamp
48,Coursera
49,Coursera
50,University Courses (resulting in a university degree)
50,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
50,Other
51,Kaggle Learn Courses
52,Coursera
52,LinkedIn Learning
52,Udemy
52,Kaggle Learn Courses
52,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
53,Udemy
54,Udacity
54,Kaggle Learn Courses
55,Udemy
55,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
55,edX
55,Coursera
56,Other
57,Udemy
57,Coursera
58,Coursera
58,Kaggle Learn Courses
58,edX
58,Fast.ai
58,LinkedIn Learning
58,University Courses (resulting in a university degree)
58,DataCamp
59,Udemy
60,University Courses (resulting in a university degree)
61,University Courses (resulting in a university degree)
62,Coursera
63,Other
63,Kaggle Learn Courses
63,Coursera
65,Other
65,Udemy
65,Coursera
66,Kaggle Learn Courses
68,University Courses (resulting in a university degree)
68,Udemy
68,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
70,Coursera
70,LinkedIn Learning
71,University Courses (resulting in a university degree)
71,Other
72,Kaggle Learn Courses
73,Kaggle Learn Courses
73,DataCamp
73,University Courses (resulting in a university degree)
74,DataCamp
75,University Courses (resulting in a university degree)
76,Other
76,Coursera
76,Udemy
77,Kaggle Learn Courses
78,Other
80,Coursera
80,Udacity
80,DataCamp
80,Udemy
81,LinkedIn Learning
81,Coursera
81,Udemy
82,Kaggle Learn Courses
82,Fast.ai
84,University Courses (resulting in a university degree)
86,Other
87,University Courses (resulting in a university degree)
87,Kaggle Learn Courses
88,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
88,Kaggle Learn Courses
88,Coursera
89,University Courses (resulting in a university degree)
89,Coursera
90,University Courses (resulting in a university degree)
93,Coursera
93,Kaggle Learn Courses
93,University Courses (resulting in a university degree)
94,University Courses (resulting in a university degree)
96,Udacity
96,Kaggle Learn Courses
96,Coursera
96,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
96,edX
96,LinkedIn Learning
96,DataCamp
96,University Courses (resulting in a university degree)
96,Udemy
97,LinkedIn Learning
97,Udemy
98,LinkedIn Learning
98,Udemy
99,Udacity
99,University Courses (resulting in a university degree)
99,Coursera
99,Kaggle Learn Courses
100,University Courses (resulting in a university degree)
101,Coursera
101,University Courses (resulting in a university degree)
101,LinkedIn Learning
101,edX
101,Udemy
101,DataCamp
103,Udacity
103,Kaggle Learn Courses
103,Udemy
103,edX
103,DataCamp
103,Coursera
104,Kaggle Learn Courses
105,Udemy
105,University Courses (resulting in a university degree)
105,DataCamp
105,Other
106,Fast.ai
106,Udacity
106,Udemy
106,LinkedIn Learning
106,DataCamp
106,University Courses (resulting in a university degree)
106,Other
106,Coursera
107,University Courses (resulting in a university degree)
108,Coursera
109,University Courses (resulting in a university degree)
109,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
109,Other
110,Other
111,LinkedIn Learning
111,Coursera
111,DataCamp
111,Udemy
113,edX
113,Coursera
114,Udemy
114,Coursera
114,Udacity
115,LinkedIn Learning
116,Other
117,LinkedIn Learning
117,Udemy
117,Coursera
118,Udemy
119,Coursera
119,Other
119,Kaggle Learn Courses
119,edX
119,LinkedIn Learning
120,Other
120,Kaggle Learn Courses
121,University Courses (resulting in a university degree)
121,Coursera
122,Coursera
123,Kaggle Learn Courses
123,DataCamp
123,University Courses (resulting in a university degree)
123,Coursera
124,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
125,Coursera
126,Kaggle Learn Courses
127,Udacity
127,Coursera
127,Kaggle Learn Courses
127,LinkedIn Learning
128,Other
128,LinkedIn Learning
128,DataCamp
128,Fast.ai
128,edX
128,Coursera
128,Udemy
130,Udemy
130,Kaggle Learn Courses
130,Udacity
130,Coursera
130,University Courses (resulting in a university degree)
131,Udemy
131,Coursera
132,Kaggle Learn Courses
132,Coursera
132,University Courses (resulting in a university degree)
132,Fast.ai
133,Other
133,University Courses (resulting in a university degree)
134,University Courses (resulting in a university degree)
134,Udemy
134,DataCamp
134,Coursera
134,Kaggle Learn Courses
135,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
135,Udemy
135,Coursera
135,Udacity
135,University Courses (resulting in a university degree)
135,LinkedIn Learning
136,Other
136,Coursera
136,Kaggle Learn Courses
137,Other
137,edX
137,Coursera
137,Kaggle Learn Courses
138,Kaggle Learn Courses
138,Coursera
140,Other
141,Kaggle Learn Courses
141,University Courses (resulting in a university degree)
141,Coursera
141,Other
142,Udemy
143,Coursera
143,Udemy
144,LinkedIn Learning
