id,age,gender,country,is_student,education_level,years_coding,years_ml,job_title,salary_usd
1,25-34,man,India,No,unknown,unknown,unknown,unknown/unemployed,
2,25-34,man,Algeria,No,university educated,0-3 years,0-2 years,unknown/unemployed,
3,18-24,man,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4,55+,man,France,No,no university,10+ years,0-2 years,data role,"under $30,000"
5,45-54,man,India,Yes,university educated,3-10 years,none,unknown/unemployed,
6,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
7,18-24,man,India,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
8,25-34,man,Germany,No,university educated,10+ years,2-5 years,non data role,"$70,000-$124,999"
9,55+,man,Australia,No,university educated,10+ years,5+ years,data role,"$70,000-$124,999"
10,18-24,man,Other,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
11,55+,man,South Korea,No,university educated,0-3 years,0-2 years,non data role,
12,55+,man,Egypt,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
13,35-44,man,India,No,university educated,0-3 years,unknown,unknown/unemployed,
14,35-44,man,United States of America,No,university educated,10+ years,5+ years,non data role,"$125,000+"
15,35-44,man,Pakistan,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
16,18-24,man,Mexico,Yes,university educated,0-3 years,none,unknown/unemployed,
17,35-44,man,United States of America,No,university educated,10+ years,5+ years,data role,"$125,000+"
18,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,"$125,000+"
19,45-54,man,Singapore,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
20,25-34,man,Italy,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
21,25-34,man,Taiwan,No,unknown,0-3 years,0-2 years,data role,"$30,000-$69,999"
22,25-34,woman,China,Yes,university educated,0-3 years,unknown,unknown/unemployed,
23,35-44,woman,India,No,university educated,3-10 years,none,unknown/unemployed,
24,25-34,man,Argentina,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
25,35-44,man,Turkey,No,university educated,0-3 years,0-2 years,unknown/unemployed,
26,25-34,man,Brazil,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
