id,framework
2,  TensorFlow 
2, PyTorch 
2,  Scikit-learn 
3, PyTorch Lightning 
3, PyTorch 
3,  Scikit-learn 
3, Xgboost 
4, Huggingface 
4,  Scikit-learn 
4, PyTorch 
6, PyTorch 
6,  Scikit-learn 
6,  TensorFlow 
6, Keras 
7,  Scikit-learn 
8, Keras 
8, PyTorch 
8,  Scikit-learn 
8,  TensorFlow 
9, Keras 
10, LightGBM 
10, CatBoost 
10, Tidymodels 
10,  Scikit-learn 
10, Keras 
10,  TensorFlow 
10, Xgboost 
10, PyTorch 
10, PyTorch Lightning 
11,  Scikit-learn 
12, Keras 
12,  TensorFlow 
14, Huggingface 
14, Keras 
14,  TensorFlow 
14, Xgboost 
14, PyTorch 
14,  Scikit-learn 
15,  TensorFlow 
15, Keras 
17, PyTorch 
17,  TensorFlow 
17,  Scikit-learn 
17, Keras 
17, LightGBM 
17, CatBoost 
18, CatBoost 
18,  Scikit-learn 
18, Xgboost 
18, LightGBM 
18, Keras 
19, Xgboost 
20,  TensorFlow 
20, Keras 
20,  Scikit-learn 
21,  Scikit-learn 
21, Xgboost 
24, Xgboost 
24, Keras 
24, CatBoost 
24, LightGBM 
24,  TensorFlow 
24,  Scikit-learn 
25, Keras 
25, Xgboost 
25,  TensorFlow 
25, LightGBM 
25,  Scikit-learn 
26,  TensorFlow 
26, Xgboost 
26,  Scikit-learn 
27,  Scikit-learn 
29, PyTorch 
29, Keras 
29, CatBoost 
29, Xgboost 
29,  Scikit-learn 
29,  TensorFlow 
30, Xgboost 
30,  Scikit-learn 
31, PyTorch 
33, PyTorch 
33,  Scikit-learn 
34,  Scikit-learn 
34,  TensorFlow 
34,Other
34, Keras 
35, Keras 
35,  Scikit-learn 
35, PyTorch Lightning 
35, Caret 
35,  TensorFlow 
35, PyTorch 
36, Huggingface 
36, Xgboost 
36, LightGBM 
36, PyTorch 
36, CatBoost 
36,  Scikit-learn 
39, Keras 
39, PyTorch 
40, LightGBM 
40, Xgboost 
40,  TensorFlow 
40, PyTorch 
40,  Scikit-learn 
41, PyTorch 
41,  Scikit-learn 
42,  Scikit-learn 
42,  TensorFlow 
42, PyTorch 
43, Keras 
43,  TensorFlow 
43,  Scikit-learn 
43, PyTorch 
44,  TensorFlow 
44, PyTorch 
45, Xgboost 
45,  Scikit-learn 
45, Keras 
45, PyTorch 
45,  TensorFlow 
46,  Scikit-learn 
46,  TensorFlow 
49, Keras 
49,  Scikit-learn 
49, PyTorch 
49,  TensorFlow 
52, PyTorch 
53,  Scikit-learn 
53,  TensorFlow 
55, Keras 
55,  TensorFlow 
56,  TensorFlow 
56, PyTorch Lightning 
57, CatBoost 
57,  Scikit-learn 
57, Keras 
57, PyTorch 
57,  TensorFlow 
