id,language
2,Java
3,C
3,SQL
3,MATLAB
3,Python
4,Python
4,Bash
4,SQL
5,Java
5,C++
5,Python
6,Python
6,SQL
7,SQL
7,C++
7,Javascript
7,Python
8,PHP
8,SQL
8,C
8,Javascript
8,Python
8,Java
9,Python
10,R
10,Bash
10,Python
10,SQL
10,C++
10,C
11,Python
11,SQL
12,Python
12,SQL
14,SQL
14,Python
14,R
15,Python
16,Python
16,C#
16,Other
16,MATLAB
17,C
17,SQL
17,Python
17,Javascript
17,Bash
17,C#
18,SQL
18,Bash
18,Python
19,Python
20,C++
20,Java
20,SQL
20,C
20,Bash
20,Javascript
20,Python
21,Python
22,MATLAB
22,Python
23,Java
23,MATLAB
23,Python
24,Python
25,SQL
25,Javascript
25,Bash
25,Python
26,Python
26,C++
26,Other
26,C
26,R
26,SQL
27,Python
28,R
29,C#
29,Javascript
29,Python
30,Python
30,SQL
30,R
31,C
31,MATLAB
31,Python
31,C++
32,Other
33,Python
34,MATLAB
34,Java
34,C#
34,C
34,Python
35,SQL
35,R
35,Python
35,C++
36,Python
37,Python
37,Java
38,SQL
39,Python
40,R
40,SQL
40,C
40,Python
40,MATLAB
41,SQL
41,Python
42,Python
42,Other
43,Go
43,Javascript
43,Java
43,SQL
43,Python
43,PHP
44,C++
44,Bash
44,Javascript
44,Python
45,Python
46,Python
46,MATLAB
48,Python
48,R
49,PHP
49,Python
49,Javascript
50,Python
52,Java
52,C
52,C++
52,Python
53,SQL
53,C
53,C++
53,Python
53,PHP
55,Python
55,SQL
55,Bash
56,C++
56,Java
56,SQL
57,Python
58,Julia
58,R
58,Python
58,SQL
60,R
61,C
61,R
63,Python
64,C#
64,Python
64,Javascript
64,SQL
65,SQL
65,Other
65,Python
66,Python
67,Python
67,Javascript
68,Python
68,Bash
68,SQL
69,MATLAB
69,Python
69,C
70,R
71,Python
71,MATLAB
71,Other
72,Python
73,Python
73,R
74,R
74,SQL
74,Python
75,Python
75,PHP
75,C
76,Python
76,SQL
77,SQL
77,MATLAB
77,Python
77,Javascript
78,C
78,Python
78,Java
79,Python
79,MATLAB
80,Python
80,SQL
81,Python
81,SQL
81,C
82,C++
82,Bash
82,Go
82,Other
82,Python
82,Javascript
84,Python
84,SQL
84,Javascript
84,R
84,Java
84,MATLAB
86,SQL
86,Java
86,C
86,Python
87,PHP
87,C++
87,Java
87,C#
87,Python
87,Javascript
88,Python
88,C++
88,SQL
89,C
89,Javascript
89,C++
90,Python
92,Javascript
92,C#
93,Python
93,SQL
93,C
93,MATLAB
93,Java
94,C#
96,Java
96,SQL
96,C
96,Javascript
96,Python
97,Python
98,R
98,Other
98,Python
98,SQL
99,Java
99,C
99,C++
99,Python
100,Python
100,MATLAB
100,C
100,Java
100,SQL
101,Python
101,R
101,SQL
102,Python
102,C
102,MATLAB
102,Javascript
102,SQL
103,Python
105,Python
105,SQL
106,Other
107,R
107,Python
