id,viz_library
2, Matplotlib 
3, Matplotlib 
3, Plotly / Plotly Express 
3, Seaborn 
3, Geoplotlib 
4, Matplotlib 
4, Seaborn 
6, Ggplot / ggplot2 
6, Matplotlib 
6, Seaborn 
6, Plotly / Plotly Express 
7, Matplotlib 
7, Seaborn 
8, Matplotlib 
8, Ggplot / ggplot2 
8, D3 js 
8, Geoplotlib 
9, Plotly / Plotly Express 
10, Matplotlib 
10, Ggplot / ggplot2 
11, Seaborn 
11, Matplotlib 
14, Plotly / Plotly Express 
14, Ggplot / ggplot2 
14, Seaborn 
15, Matplotlib 
17, Matplotlib 
17, Plotly / Plotly Express 
17, Bokeh 
17, Altair 
17, Seaborn 
18, Seaborn 
18,Other
18, Matplotlib 
19, Seaborn 
20, Matplotlib 
21, Matplotlib 
23, Matplotlib 
23, Shiny 
23, Plotly / Plotly Express 
24, Matplotlib 
24, Seaborn 
25, Leaflet / Folium 
25, Matplotlib 
25, Seaborn 
26, Plotly / Plotly Express 
26, D3 js 
26, Matplotlib 
27, Matplotlib 
27, Seaborn 
28, Ggplot / ggplot2 
29, Seaborn 
29, Matplotlib 
29, Plotly / Plotly Express 
30, Seaborn 
30, Matplotlib 
30, Ggplot / ggplot2 
31, Matplotlib 
33, Seaborn 
33, Matplotlib 
35, Plotly / Plotly Express 
35, Ggplot / ggplot2 
35, Seaborn 
35, Matplotlib 
36, Seaborn 
37, Seaborn 
37, Matplotlib 
39, Matplotlib 
39, Seaborn 
40, D3 js 
40, Shiny 
40, Geoplotlib 
40, Plotly / Plotly Express 
40, Seaborn 
40, Ggplot / ggplot2 
40, Bokeh 
40, Matplotlib 
41, Matplotlib 
41, Plotly / Plotly Express 
41, Seaborn 
42, Matplotlib 
42, Seaborn 
42, Plotly / Plotly Express 
43, Seaborn 
43, Matplotlib 
44, Matplotlib 
45, Seaborn 
45, Matplotlib 
46, Bokeh 
46, Seaborn 
46, Matplotlib 
48, Matplotlib 
48, Plotly / Plotly Express 
