id,work_activity
4,Build prototypes to explore applying machine learning to new areas
4,Experimentation and iteration to improve existing ML models
4,Build and/or run a machine learning service that operationally improves my product or workflows
8,Analyze and understand data to influence product or business decisions
8,Do research that advances the state of the art of machine learning
8,Build and/or run a machine learning service that operationally improves my product or workflows
8,Build prototypes to explore applying machine learning to new areas
8,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
9,Build prototypes to explore applying machine learning to new areas
14,Build prototypes to explore applying machine learning to new areas
14,Other
17,Experimentation and iteration to improve existing ML models
17,Build prototypes to explore applying machine learning to new areas
17,Analyze and understand data to influence product or business decisions
17,Build and/or run a machine learning service that operationally improves my product or workflows
17,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
18,Analyze and understand data to influence product or business decisions
18,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
19,None of these activities are an important part of my role at work
20,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
21,Analyze and understand data to influence product or business decisions
26,Analyze and understand data to influence product or business decisions
26,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
28,None of these activities are an important part of my role at work
30,Analyze and understand data to influence product or business decisions
30,Build prototypes to explore applying machine learning to new areas
33,Build prototypes to explore applying machine learning to new areas
33,Experimentation and iteration to improve existing ML models
33,Analyze and understand data to influence product or business decisions
33,Build and/or run a machine learning service that operationally improves my product or workflows
34,Experimentation and iteration to improve existing ML models
34,Build prototypes to explore applying machine learning to new areas
34,Do research that advances the state of the art of machine learning
36,Analyze and understand data to influence product or business decisions
36,Build prototypes to explore applying machine learning to new areas
36,Do research that advances the state of the art of machine learning
41,Build prototypes to explore applying machine learning to new areas
41,Build and/or run a machine learning service that operationally improves my product or workflows
41,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
41,Analyze and understand data to influence product or business decisions
41,Experimentation and iteration to improve existing ML models
42,Other
44,Build prototypes to explore applying machine learning to new areas
44,Build and/or run a machine learning service that operationally improves my product or workflows
46,Build prototypes to explore applying machine learning to new areas
46,Analyze and understand data to influence product or business decisions
49,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
49,Build prototypes to explore applying machine learning to new areas
58,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
58,Analyze and understand data to influence product or business decisions
58,Do research that advances the state of the art of machine learning
58,Build prototypes to explore applying machine learning to new areas
64,None of these activities are an important part of my role at work
72,None of these activities are an important part of my role at work
75,Other
76,Analyze and understand data to influence product or business decisions
76,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
80,None of these activities are an important part of my role at work
82,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
83,None of these activities are an important part of my role at work
84,Analyze and understand data to influence product or business decisions
84,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
84,Build prototypes to explore applying machine learning to new areas
85,Analyze and understand data to influence product or business decisions
85,Do research that advances the state of the art of machine learning
98,Analyze and understand data to influence product or business decisions
98,Other
98,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
99,Analyze and understand data to influence product or business decisions
99,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
99,Build and/or run a machine learning service that operationally improves my product or workflows
99,Build prototypes to explore applying machine learning to new areas
103,Analyze and understand data to influence product or business decisions
111,Build and/or run a machine learning service that operationally improves my product or workflows
111,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
111,Experimentation and iteration to improve existing ML models
111,Build prototypes to explore applying machine learning to new areas
111,Analyze and understand data to influence product or business decisions
115,Build and/or run a machine learning service that operationally improves my product or workflows
120,None of these activities are an important part of my role at work
122,Analyze and understand data to influence product or business decisions
122,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
124,Do research that advances the state of the art of machine learning
124,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
126,Build prototypes to explore applying machine learning to new areas
128,Build prototypes to explore applying machine learning to new areas
128,Analyze and understand data to influence product or business decisions
134,Analyze and understand data to influence product or business decisions
134,Build prototypes to explore applying machine learning to new areas
134,Experimentation and iteration to improve existing ML models
134,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
136,Analyze and understand data to influence product or business decisions
137,Analyze and understand data to influence product or business decisions
140,None of these activities are an important part of my role at work
143,Analyze and understand data to influence product or business decisions
144,Analyze and understand data to influence product or business decisions
149,None of these activities are an important part of my role at work
151,Analyze and understand data to influence product or business decisions
151,Build and/or run a machine learning service that operationally improves my product or workflows
155,Analyze and understand data to influence product or business decisions
157,None of these activities are an important part of my role at work
159,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
160,None of these activities are an important part of my role at work
161,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
161,Experimentation and iteration to improve existing ML models
161,Build prototypes to explore applying machine learning to new areas
